unique_id,fieldguide,english_common,latin_species,length,order,family,family_english,voice,warblish,usable,voice_reduced,non_vocalization,distance_amplitude,namesake,qualifies_as_song,mimicry,comparison,comparison_type,comparison_expression,comparand,comp_construction,comp_dimension,duplicated_comparison,comments
id_3882,national_geographic_america,Rough-legged Hawk,Buteo lagopus,"53cm, 135cm",NA,NA,NA,"During breeding season, gives a soft, plaintive courting whistle. Alarm call is a loud screech or squeal.",NO,yes,"a soft, plaintive  whistle;  is a loud screech or squeal",NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_3128,morcombe_australia,Kalkadoon Grasswren,Amytornis ballarae,NA,Passeriformes,Maluridae,Australasian Wrens,NA,NO,no_record,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
id_153,allabout_birds,Cassin's Sparrow,Peucaea cassinii,14,Passeriformes,Passerellidae,New World Sparrows,"A very high-pitched, rising ""psit"". The primary song is a whistled melody, beginning with two short introductory notes, followed by a rich, fluting trill and two lower final notes. As do many other sparrow species, Cassin's also has a 'complex' song that resembles the primary song but is preceded by series of chips and buzzy notes. Courting adults often give a buzzy twitter call when chasing or displaying over the territory.",NO,yes,"very high-pitched, rising ""psit""; The primary a whistled melody, beginning with two short introductory notes, followed by a rich, fluting trill and two lower final notes; has a 'complex' song primary song but is preceded by series of chips and buzzy notes; often a buzzy twitter call",NA,NA,NA,NA,NA,comparison,to_superordinate,"As do many other sparrow species, Cassin's also has a 'complex' song ",other sparrow species,as other C has S,none,NA,NA
id_4775,peterson_chalif_mexico,Black-throated Magpie Jay,Calocitta colliei,25-28in,NA,NA,NA,"Noisy; a variety of jaylike sounds; a harsh reiterated ""grah"" or ""khrah""; also a querulous, downward-slurring ""kew, kew, kew"", or ""kyoo, kyoo, kyoo, kyoo"", etc.; bubbling and stuttering sounds.",NO,yes,"a variety of sounds; a harsh reiterated ""grah"" or ""khrah"";  querulous, downward-slurring ""kew, kew, kew"", or ""kyoo, kyoo, kyoo, kyoo""; bubbling and stuttering sounds",NA,NA,NA,NA,NA,comparison,to_superordinate,a variety of jaylike sounds,jays,Clike N,none,NA,NA
id_4110,national_geographic_america,Bluethroat,Luscinia svecica,14cm,NA,NA,NA,"In courtship, males sing from high perches and in elaborate display flight. Varied, melodious often begins with a crisp, metallic ""ting ting ting""; call, ""tchak"", often given in a series; mimics other species.",NO,yes,"Varied, melodious often begins with a crisp, metallic ""ting ting ting""; call, ""tchak"", often given in a series",NA,NA,NA,NA,mimics other species,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_1085,collins_british_common,Red-legged Partridge,Alectoris rufa,32-34cm,Galliformes,Phasianidae,Pheasants & Allies,"Utters a loud ""ke che-che, ke che-che, ke che-che..."" call.",NO,yes,"a loud ""ke che-che, ke che-che, ke che-che..."" call",NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_3931,national_geographic_america,Pileated Woodpecker,Dryocopus pileatus,42cm,Piciformes,Picidae,Woodpeckers,"Call is a loud ""wuck"" note or series of notes, given all year, often in flight; similar call of Northern Flicker is given only in the breeding season. Loud, resonant drumming given most frequently by male.",NO,yes,"a loud ""wuck"" note or series of notes, given all year; Loud, resonant drumming",NA,NA,NA,NA,NA,comparison,to_similar_species,"Call is a loud ""wuck"" note or series of notes, given all year, often in flight, similar call of Northern Flicker is given only in the breeding season",Northern Flicker,"O N, similar N of C",none,NA,NA
id_6942,tarboton_kruger_national_park,Yellow-fronted Canary,Crithagra mozambica,12cm,Passeriformes,Fringillidae,"Finches, Euphonias","Often detected by its sweet, lilting song (...)",NO,yes,"sweet, lilting song",NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_1536,collins_british_rare,Isabelline Wheatear,Oenanthe isabellina,15-16.5cm,Passeriformes,Muscicapidae,"Chats, Old World Flycatchers","Calls include a sharp ""tchiup"".",NO,yes,"a sharp ""tchiup""",NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_3753,national_geographic_america,Roseate Tern,Sterna dougallii,"39cm (length), 74cm (wingspan)",Charadriiformes,Laridae,"Gulls, Terns, Skimmers","Call is a soft ""chi-weep"" or ""ki-vit""; alarm signal a drawn-out ""zra-ap"" like ripping cloth.",NO,yes,"a soft ""chi-weep"" or ""ki-vit"";  a drawn-out ""zra-ap"" ",NA,NA,NA,NA,NA,comparison,to_inanimate," a drawn-out ""zra-ap"" like ripping cloth",ripping cloth,O like C,none,NA,NA
id_4166,national_geographic_america,Sprague's Pipit,Anthus spragueii,17cm,Passeriformes,Motacillidae,"Wagtails, Pipits","Call is a loud, squeaky ""squeet"", usually repeated. Song, given continuously in high flight, is a descending series of musical ""tzee-a"" notes.",NO,yes,"a loud, squeaky ""squeet"",  repeated; Song, given continuously in high , is a descending series of musical ""tzee-a"" notes",NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_4508,peterson_chalif_mexico,Double-Toothed Kite,Harpagus bidentatus,12-15in,Accipitriformes,Accipitridae,"Kites, Hawks, Eagles","A shrill ""chiew-ip"" (Laughlin); a thin ""tsip-tsip-tsip-tsip-wheeeeeeooo""; also a thin, long-drawn ""wheeeeoooo"" (Eisenmann).",NO,yes,"shrill ""chiew-ip"" ; a thin ""tsip-tsip-tsip-tsip-wheeeeeeooo"";  thin, long-drawn ""wheeeeoooo""",NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,corrected missing double quotes
id_2824,morcombe_australia,Baillon's Crake,Zapornia pusilla,15-16cm,NA,NA,NA,"loud, sharp, very rapid, ratcheting ""kar-r-r-r-r-ak""; also a sharp ""chak"" or ""krek"" in alarm.",NO,yes,"loud, sharp, very rapid, ratcheting ""kar-r-r-r-r-ak"";  sharp ""chak"" or ""krek"" ",NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_3743,national_geographic_america,Black Noddy,Anous minutus,"34cm (length), 76cm (wingspan)",Charadriiformes,Laridae,"Gulls, Terns, Skimmers",NA,NO,no_record,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
id_2138,felix_hisek_birds,Crested Tit,Lophophanes cristatus,1.5,NA,NA,NA,"A characteristic ""tzee tzeetzee"", but often only ""cho-r-r"".",NO,yes,"characteristic ""tzee tzeetzee"", but often only ""cho-r-r""",NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_6268,simpson_day_australian,Wood Sandpiper,Tringa glareola,20-23,Charadriiformes,Scolopacidae,"Sandpipers, Snipes","loud, rapid, four-note whistle.",NO,yes,"loud, rapid, four-note whistle",NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_2341,holden_cleeves_birds,Nightjar,Caprimulgus europaeus,26-28cm,Caprimulgiformes,Caprimulgidae,Nightjars,"Song is a long, drawn-out churring that rises and falls as the bird turns its head. Flight call is a loud, liquid-sounding ""coo-lik"".",NO,yes,"a long, drawn-out churring that rises and falls ;  is a loud, liquid-sounding ""coo-lik""",NA,NA,NA,NA,NA,comparison,to_inanimate,"a loud, liquid-sounding ""coo-lik""",liquid,C-sounding O,none,NA,NA
id_6464,simpson_day_australian,Mangrove Robin,Peneothello pulverulenta,16,NA,NA,NA,"Plaintive double whistle; melodious song; harsh ""chuk"".",NO,yes,"Plaintive double whistle; melodious song; harsh ""chuk""",NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_2644,morcombe_australia,Cape Barren Goose,Cereopsis novaehollandiae,75-90cm,Anseriformes,Anatidae,"Ducks, Geese, Swans","often calls in flight. Male has a loud, harsh trumpet--a rapid ""ark-ark, ark-ark"". Both sexes give low grunts, softer honks, and hiss in aggression or when threatened.",NO,yes,"a loud, harsh trumpet : a rapid ""ark-ark, ark-ark"" ; low grunts, softer honks, and hiss",NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_2059,felix_hisek_birds,Stock Dove,Columba oenas,33,Columbiformes,Columbidae,"Pigeons, Doves","A cooing note that sounds like ""coo-roo-oo"".",NO,yes,"cooing note that sounds like ""coo-roo-oo""",NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_1883,collins_gem_garden_birds,Little Grebe,Tachybaptus ruficollis,NA,Podicipediformes,Podicipedidae,Grebes,"Rapid, staccato call--sounds like high-pitched laughing.",NO,yes,"Rapid, staccato call : sounds like high-pitched laughing",NA,NA,NA,NA,NA,comparison,to_human,staccato call - sounds like high pitched laughing,high-pitched laughing,N sounds like C,none,NA,NA
id_3825,national_geographic_america,Blue-footed Booby,Sula nebouxii,"81cm, 157cm",Suliformes,Sulidae,"Gannets, Boobies",NA,NO,no_record,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
id_5447,sibley_birds,Swainson's Hawk,Buteo swainsoni,19,Accipitriformes,Accipitridae,"Kites, Hawks, Eagles","Long, high scream like Red-tailed but higher, clearer, weaker; may be short ""cheeeeew"" or long, drawn-out ""kwee-aaaaaah""; sometimes a series of whistled notes ""pi tip, pi tip..."". Juvenile gives soft, plaintive whistle or mew.",NO,yes,"Long, high scream but higher, clearer, weaker; may be short ""cheeeeew"" or long, drawn-out ""kwee-aaaaaah"";  a series of whistled notes ""pi tip, pi tip..."" ; soft, plaintive whistle or mew",NA,NA,NA,NA,NA,comparison,to_similar_species,"Long, high scream like Red-tailed but higher, clearer, weaker",Red-tailed Hawk,N like C but X-er,higher&clearer&weaker,NA,NA
id_1464,collins_british_rare,Red-rumped Swallow,Cecropis daurica,15-18cm,Passeriformes,Hirundinidae,"Swallows, Martins","Vagrants here are mostly silent but have been heard to utter a harsh ""chett"" call.",NO,yes,"a harsh ""chett"" call",NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_5292,sibley_birds,Smew,Mergellus albellus,16,Anseriformes,Anatidae,"Ducks, Geese, Swans",Usually silent.,NO,silent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
id_374,allabout_birds,Neotropic Cormorant,Nannopterum brasilianum,61,NA,NA,NA,"A distinctive low-pitched guttural grunting, likened to the oinking of a pig.",NO,yes,distinctive low-pitched guttural grunting,NA,NA,NA,NA,NA,comparison,to_other_animal,"guttural grunting, likened to the oinking of a pig",the oinking of a pig,O likened to the O of C,none,NA,NA
id_2228,holden_cleeves_birds,Sooty Shearwater,Ardenna grisea,40-51cm,NA,NA,NA,"Mostly silent while at sea, but raucous calls and screams have been reported.",NO,yes,raucous calls and screams,NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_6868,tarboton_kruger_national_park,Collared Palm Thrush,Cichladusa arquata,20cm,NA,NA,NA,"Song is a rich series of melodious, robin-like whistles, including mimicry of other species' calls.",NO,yes,"a rich series of melodious, whistles",NA,NA,NA,NA,", including mimicry of other species' calls.",comparison,to_other_species,"Song is a rich series of melodious, robin-like whistles",robin,C-like N,none,NA,NA
id_189,allabout_birds,Cooper's Hawk,Accipiter cooperii,38,Accipitriformes,Accipitridae,"Kites, Hawks, Eagles","Outside of the breeding season, Cooper's Hawks tend to be silent. The most common call is a loud, grating ""cak-cak-cak"", 2-5 seconds long, given by both sexes in defense of the nest. This call is also given during courtship. Males frequently make a ""kik"" call to tell their mates where they are; females make this call too, but less often. Females make a ""whaa"" call when approaching or receiving food from males.",NO,yes,"a loud, grating ""cak-cak-cak"", 2-5 seconds long; a ""kik"" call; a ""whaa"" call ",NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_1981,felix_hisek_birds,Goshawk,Accipiter gentilis,48-58,Accipitriformes,Accipitridae,"Kites, Hawks, Eagles","A lengthy ""gig-gig-gig""; the young utter a piping ""kee"".",NO,yes,"lengthy ""gig-gig-gig""; a piping ""kee""",NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_65,allabout_birds,Black-and-white Warbler,Mniotilta varia,12,Passeriformes,Parulidae,New World Warblers,"Both male and female Black-and-white Warblers give a sharp ""chit"" or ""pit"" call, with many variations. Females call to mates when away from the nest, and males may call to mates in order to maintain contact. Males sing a thin, high-pitched, repetitive ""weesy, weesy, weesy"" song that lasts about 3 seconds. On the breeding grounds, the song may be longer, faster and more varied in pitch.  Males sing a softer version of the song when near females during courtship and nest-building.",NO,yes,"a sharp ""chit"" or ""pit"" call;  sing a thin, high-pitched, repetitive ""weesy, weesy, weesy"" song that lasts about 3 seconds; the song may be longer, faster and more varied in pitch;  sing a softer version of the song",NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_4528,peterson_chalif_mexico,Bat Falcon,Falco rufigularis,9-11in,Falconiformes,Falconidae,"Caracaras, Falcons","A thin querulous ""krree krree krree kree"", etc., or ""peel peel"" (5-8 times), suggesting Kestrel (Chalif).",NO,yes,"thin querulous ""krree krree krree kree"" ; or ""peel peel"" (5-8 times)",NA,NA,NA,NA,NA,comparison,to_similar_species,"or ""peel peel"" (5-8 times), suggesting Kestrel (Chalif)",Kestrel,"O, suggesting C",none,NA,NA
id_4096,national_geographic_america,Arctic Warbler,Phylloscopus borealis,13cm,Passeriformes,Phylloscopidae,Leaf Warblers & Allies,"Song is a long series of toneless buzzy notes. Call is a buzzy single-syllable ""dzik"".",NO,yes,"a long series of toneless buzzy notes;  a buzzy single-syllable ""dzik""",NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_4986,rspb_brereton,Cuckoo,Cuculus canorus,32-34,Cuculiformes,Cuculidae,Cuckoos,"loud ""cuc-koo"" in spring.",NO,yes,"loud ""cuc-koo"" ",NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_3333,morcombe_australia,Dusky Woodswallow,Artamus cyanopterus,17-18cm,Passeriformes,Artamidae,"Woodswallows, Butcherbirds & Allies","contact calls, flight and while perched, brisk, vibrant ""tseit-tzeit"", softer ""zut-zut"". A soft, quiet song often includes mimicry. In defence of nest, a harsh, scolding chatter.",NO,yes,"brisk, vibrant ""tseit-tzeit""; softer ""zut-zut"" ; soft, quiet song; a harsh, scolding chatter",NA,NA,NA,NA,song often includes mimicry,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_1553,collins_british_rare,Pine Grosbeak,Pinicola enucleator,19-22cm,Passeriformes,Fringillidae,"Finches, Euphonias","Call is a whistling ""piew"".",NO,yes,"a whistling ""piew""",NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_5163,rspb_pocket_birds_harrap,Green Woodpecker,Picus viridis,32,Piciformes,Picidae,Woodpeckers,"Call a loud, manic series of 10-20 notes: ""kle-kle-kle-kle..."", delivered rapidly but deliberately and falling slightly in pitch towards the end; this call gives it the old country name 'yaffle'. Rarely drums.",NO,yes,"a loud, manic series of 10-20 notes: ""kle-kle-kle-kle..."", delivered rapidly but deliberately and falling in pitch towards the end",Rarely drums.,NA, this call gives it the old country name 'yaffle',NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_2497,mackinnon_china,Common Barn-Owl,Tyto alba,35,Strigiformes,Tytonidae,Barn Owls,Call is a harsh screech.,NO,yes,a harsh screech,NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_594,allabout_birds,Willow Ptarmigan,Lagopus lagopus,39.25,Galliformes,Phasianidae,Pheasants & Allies,"Willow Ptarmigan are very vocal during the nesting season and have a remarkable repertoire of call types, many of which sound comical, even humanlike. Both male and female produce a series of nasal clucks and growls in many contexts, ranging from contact with mates, conflict with rivals, or the presence of predators. Still other calls sound like a scream, hiss, purr, or peep. Males are highly vocal during courtship and territorial defense, when they often deliver what some refer to as 'flight song,' a rollicking, guttural series of clucks.",NO,yes,"call types, many of which sound comical; a series of nasal clucks and growls ; calls sound like a scream, hiss, purr, or peep ; a rollicking, guttural series of clucks",NA,NA,NA,"when they often deliver what some refer to as ' song,'",NA,comparison,to_human,"call types, many of which sound comical, even humanlike",human,"N, which sound S, almost Clike",none,NA,NA
id_3582,national_geographic_america,Broad-tailed Hummingbird,Selasphorus platycercus,10cm,Apodiformes,Trochilidae,Hummingbirds,"Except during winter molt, adult male's modified outer primary tips produce a loud, cricketlike trill in flight. Calls include a metallic ""chip"", different from Rufous and Allen's.",NO,yes,"a loud trill ; a metallic ""chip""",NA,NA,NA,NA,NA,comparison,to_other_animal;to_similar_species;to_similar_species,"a loud, cricketlike trill ; a metallic ""chip"", different from Rufous and Allen's;a metallic ""chip"", different from Rufous and Allen's",cricket;Rufous Hummingbird;Allen's Hummingbird,"Clike N;O, different from C1 and C2;O, different from C1 and C2",none;none;none,yes,duplicated comparison entries for network representation
id_69,allabout_birds,Black-billed Cuckoo,Coccyzus erythropthalmus,29.5,Cuculiformes,Cuculidae,Cuckoos,"The call of males and females is a guttural croak that is often preceded by a rapid and harsh chortle. Males and females sing a staccato series of 3 to 5 toots on the same pitch. They take a brief pause between sets, but can go on repeating sets for several minutes. They sing during, day, night and often while flying overhead.",NO,yes,a guttural croak that is often preceded by a rapid and harsh chortle; sing a staccato series of 3 to 5 toots on the same pitch,NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_3879,national_geographic_america,Swainson's Hawk,Buteo swainsoni,"53cm, 132cm",Accipitriformes,Accipitridae,"Kites, Hawks, Eagles","A drawn-out scream, usually heard near nest site.",NO,yes,drawn-out scream,NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_720,bruun_hamlyn_guide,Grey Plover,Pluvialis squatarola,28,Charadriiformes,Charadriidae,Plovers,"Call is plaintive, slurred whistle ""whee-oo-ee"".",NO,yes,"plaintive, slurred whistle ""whee-oo-ee""",NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_5389,sibley_birds,Northern Gannet,Morus bassanus,37,Suliformes,Sulidae,"Gannets, Boobies","Generally silent away from breeding grounds. Groups at sea give grating, descending, growling ""urrrrah"". In colony gives loud, harsh, gurgling call.",NO,yes,"grating, descending, growling ""urrrrah""; loud, harsh, gurgling call",NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_2337,holden_cleeves_birds,Tawny Owl,Strix aluco,37-39cm,Strigiformes,Strigidae,Owls,"Song is the familiar hoot ""hooo-hoo-hooo"" of the male used to proclaim his territory and during courtship. Sings in late winter and again in Autumn. Female also has a hoarse version of the hoot. Another common call is a sharp ""kee-wick"",  made by both sexes. Occasionally calls during daylight.",NO,yes,"the familiar hoot ""hooo-hoo-hooo"" ; a hoarse version of the hoot ;a sharp ""kee-wick""",NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_1400,collins_british_rare,Trek Sandpiper,Xenus cinereus,22-25cm,Charadriiformes,Scolopacidae,"Sandpipers, Snipes","Call comprises a series of shrill ""pee-pee-pee"" whistling notes.",NO,yes,"a series of shrill ""pee-pee-pee"" whistling notes",NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_3839,national_geographic_america,Great Blue Heron,Ardea herodias,"117cm, 183cm",Pelecaniformes,Ardeidae,"Herons, Bitterns",Occasional deep croaks.,NO,yes,deep croaks,NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_5363,sibley_birds,Short-tailed Shearwater,Ardenna tenuirostris,16.5,NA,NA,NA,"Generally silent at sea. Calls at nest higher, more screeching than Sooty.",NO,yes,"higher, more screeching",NA,NA,NA,NA,NA,qualified_comparison_only,to_similar_species,"Calls at nest higher, more screeching than Sooty.",Sooty Shearwater,N X-er than C,higher&more_screeching,NA,NA
id_4786,peterson_chalif_mexico,Steller's Jay,Cyanocitta stelleri,11-13in,Passeriformes,Corvidae,"Crows, Jays","A loud ""shook-shook-shook"" or ""shack-shack-shack"" or ""wheck-wek-wek-wek"" or ""kewsh kwesh kwesh"", etc..",NO,yes,"loud ""shook-shook-shook"" or ""shack-shack-shack"" or ""wheck-wek-wek-wek"" or ""kewsh kwesh kwesh""",NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_2698,morcombe_australia,Black Petrel,Procellaria parkinsoni,46cm; span 1.1m,Procellariiformes,Procellariidae,"Petrels, Shearwaters, Diving Petrels","in colonies, harsh, sharp clacking, ""ak-ak-ak-ak-"", and a throaty squawk, ""argk, argk, argk"".",NO,yes,"harsh, sharp clacking, ""ak-ak-ak-ak-""; and a throaty squawk, ""argk, argk, argk""",NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_2146,felix_hisek_birds,Yellowhammer,Emberiza citrinella,16.5,Passeriformes,Emberizidae,Buntings,"A metallic ""chip"".",NO,yes,"metallic ""chip""",NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_6723,simpson_day_australian,Australian Magpie-lark,Grallina cyanoleuca,27,Passeriformes,Monarchidae,Monarchs,"""pee-wee""; also ""pee-o-wit"".",NO,yes,"""pee-wee""; also ""pee-o-wit""",NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_4732,peterson_chalif_mexico,Brown-crested (Wied's) Flycatcher,Myiarchus tyrannulus,9in,Passeriformes,Tyrannidae,"Tyrant Flycatchers, Calyptura","A sharp ""whit"", a short ""prrrr"", and a rolling throaty ""purreeer"". Voice stronger than Ash-throated Flycatcher's.",NO,yes,"sharp ""whit"", a short ""prrrr"", and a rolling throaty ""purreeer""; stronger ",NA,NA,NA,NA,NA,comparison,to_similar_species,Voice stronger than Ash-throated Flycatcher's.,Ash-throated Flycatcher,N X-er than C,stronger,NA,NA
id_4073,national_geographic_america,Brown-headed Nuthatch,Sitta pusilla,11cm,Passeriformes,Sittidae,Nuthatches,"Call is a repeated double note like the squeak of a rubber duck. Feeding flocks also give twittering, chirping, and talky ""bit bit bit"" calls.",NO,yes,"a repeated double note ; twittering, chirping, and talky ""bit bit bit"" calls",NA,NA,NA,NA,NA,comparison,to_inanimate,like the squeak of a rubber duck,the squeak of a rubber duck,N like the O of a C,none,NA,NA
id_5839,sibley_birds,Violet-green Swallow,Tachycineta thalassina,5.25,Passeriformes,Hirundinidae,"Swallows, Martins","Song a creaking ""teer twee, tsip-tsip-tsip..."". Call chirping like Tree Swallow but sharper, harder ""chilp"" or *chip-lip*; almost swift-like without twittering quality of Tree. Also clear, descending notes in alarm ""tseer"" or ""teewp"" repeated.",NEW,yes,"a creaking ""teer twee, tsip-tsip-tsip...""; chirping sharper, harder ""chilp"" or *chip-lip*; clear, descending notes in ""tseer"" or ""teewp"" repeated",NA,NA,NA,NA,NA,comparison,to_similar_species;to_other_bird_category,"chirping like Tree Swallow but sharper, harder ""chilp"" or *chip-lip*; almost swift-like without twittering quality of Tree",Tree Swallow;swift,O like C but X-er;Clike without O-ing quality,sharper&harder;none,NA,NA
id_855,bruun_hamlyn_guide,Short-toed Lark,Calandrella cinerea,14,Passeriformes,Alaudidae,Larks,"The call has been described as a short ""tchirrup"".",NO,yes,"a short ""tchirrup""",NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_6138,sibley_birds,Yellow-fronted Canary,Crithagra mozambica,4.5,NA,NA,NA,"Song bright and clear, quality like American Goldfinch, but tempo much slower, many notes repeated. Call a short twittering rattle, reminiscent of Snow Bunting.",NO,yes,"bright and clear, quality , but tempo much slower, many notes repeated; a short twittering rattle",NA,NA,NA,NA,NA,comparison,to_similar_species;to_other_species,"Song bright and clear, quality like American Goldfinch, but tempo much slower, many notes repeated; Call a short twittering rattle, reminiscent of Snow Bunting.",American Goldfinch;Snow Bunting,"N like C but X-er;O, reminiscent of C",slower;none,NA,NA
id_6697,simpson_day_australian,Black-headed Mannikin,Lonchura malacca,11,Passeriformes,Estrildidae,"Waxbills, Munias & Allies","shrill ""peep-peep"".",NO,yes,"shrill ""peep-peep""",NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_2362,holden_cleeves_birds,Pied Wagtail,Motacilla alba,18cm,Passeriformes,Motacillidae,"Wagtails, Pipits","Usual call is a sharp ""twissi-vit""or ""chizwit"" that is often given in flight. Song is quiet twittering interspersed with occasional call notes.",NO,yes,"a sharp ""twissi-vit""or ""chizwit"" that is quiet twittering interspersed with  call notes",NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_4901,peterson_chalif_mexico,Rosy (Rose-breasted) Thrush-tanager,Rhodinocichla rosea,8in,Passeriformes,Rhodinocichlidae,Thrush-tanager,"Song, wrenlike, 4-noted: ""wee, choohoo chyo"" or ""chee chyo, choyo"".",NO,yes,"Song, 4-noted: ""wee, choohoo chyo"" or ""chee chyo, choyo""",NA,NA,NA,NA,NA,comparison,to_other_bird_category,"Song, wrenlike, 4-noted",wren,"N, Clike",none,NA,maybe the specific bird meant
id_1761,collins_gem_birds,Savi's Warbler,Locustella luscinioides,15,Passeriformes,Locustellidae,Grassbirds & Allies,"Reeling ""churr"" similar to Grasshopper Warbler, but lower-pitched and in shorter bursts. Ventriloquial, sings from reed stems.",NO,yes,"Reeling ""churr"" , but lower-pitched and in shorter bursts; Ventriloquial",NA,NA,NA,NA,NA,comparison,to_similar_species,"Reeling ""churr"" similar to Grasshopper Warbler, but lower-pitched and in shorter bursts",Grasshopper Warbler,"O, similar to C but X-er",lower,NA,in shorter bursts is not comparative morphology
id_1795,collins_gem_birds,Nutcracker,Nucifraga caryocatactes,33,Passeriformes,Corvidae,"Crows, Jays","Vocal; harsh ""skaark"" and growling calls; jangling squeaky song.",NO,yes,"harsh ""skaark"" and growling calls; jangling squeaky song",NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_6758,tarboton_kruger_national_park,Black-bellied Bustard,Lissotis melanogaster,62cm,Otidiformes,Otididae,Bustards,"(...) uttering a slurred ""quark"".",NO,yes,"a slurred ""quark""",NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_4326,national_geographic_america,Painted Bunting,Passerina ciris,14cm,Passeriformes,Cardinalidae,Cardinals & Allies,"Song is a rapid series of varied phrases, thinner and sweeter than Indigo Bunting. Call is a loud, rich ""chip"".",NO,yes,"a rapid series of varied phrases, thinner and sweeter ; a loud, rich ""chip""",NA,NA,NA,NA,NA,comparison,to_similar_species,"Song is a rapid series of varied phrases, thinner and sweeter than Indigo Bunting",Indigo Bunting,N is X-er than C,thinner&sweeter,NA,NA
id_5392,sibley_birds,Lesser Frigatebird,Fregata ariel,30,Suliformes,Fregatidae,Frigatebirds,Generally silent away from nesting colony.,NO,silent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
id_4123,national_geographic_america,Wood Thrush,Hylocichla mustelina,20cm,Passeriformes,Turdidae,Thrushes,"Loud, liquid song of three- to five-note phrases, each phrases usually ending with a complex trill. Calls include a rapid ""pit pit pit"".",NO,yes,"Loud, liquid song of three- to five-note phrases, each phrases  ending with a complex trill; a rapid ""pit pit pit""",NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
